month,rows,late_orders,late_rate,precision,recall,f1,flagged_rate
2018-05,693,2,0.002886002886002886,0.0,0.0,0.0,0.06926406926406926
2018-06,6096,71,0.011646981627296589,0.018913676042677012,0.5492957746478874,0.03656821378340366,0.338254593175853
2018-07,6156,208,0.03378817413905133,0.03686856595642806,0.7403846153846154,0.0702394526795895,0.6785250162443145
2018-08,6351,393,0.061880018894662256,0.07115160915083366,0.9338422391857506,0.13222842731039453,0.8121555660525901
