window,start_date,end_date,late_rate,threshold,precision,recall,f1,flagged_rate,lift
1,2018-03-03 10:03:41,2018-03-23 19:26:13,0.204022392701638,0.05,0.20665683589635558,0.9969512195121951,0.34234863025649975,0.9842421729214182,1.0129125198456534
1,2018-03-03 10:03:41,2018-03-23 19:26:13,0.204022392701638,0.07,0.21789161098737936,0.5965447154471545,0.3191952147906471,0.5585735019697284,1.067978902227775
1,2018-03-03 10:03:41,2018-03-23 19:26:13,0.204022392701638,0.1,0.2676056338028169,0.03861788617886179,0.0674955595026643,0.0294422558573502,1.3116483453566927
1,2018-03-03 10:03:41,2018-03-23 19:26:13,0.204022392701638,0.12,0.24675324675324675,0.019308943089430895,0.03581526861451461,0.015965166908563134,1.2094419807834442
1,2018-03-03 10:03:41,2018-03-23 19:26:13,0.204022392701638,0.15,0.3225806451612903,0.01016260162601626,0.019704433497536946,0.006427534729421522,1.5811041174927878
1,2018-03-03 10:03:41,2018-03-23 19:26:13,0.204022392701638,0.17,0.34615384615384615,0.009146341463414634,0.01782178217821782,0.005390835579514825,1.6966463414634145
1,2018-03-03 10:03:41,2018-03-23 19:26:13,0.204022392701638,0.2,0.3333333333333333,0.006097560975609756,0.011976047904191617,0.0037321169396641093,1.6338075880758807
1,2018-03-03 10:03:41,2018-03-23 19:26:13,0.204022392701638,0.25,0.3,0.003048780487804878,0.006036217303822937,0.0020733982998133943,1.4704268292682925
1,2018-03-03 10:03:41,2018-03-23 19:26:13,0.204022392701638,0.3,0.16666666666666666,0.0010162601626016261,0.00202020202020202,0.0012440389798880364,0.8169037940379403
2,2018-03-23 19:36:42,2018-04-15 20:02:35,0.07526435828322621,0.05,0.0763888888888889,1.0,0.14193548387096774,0.9852788720713249,1.0149410774410774
2,2018-03-23 19:36:42,2018-04-15 20:02:35,0.07526435828322621,0.07,0.09191629052113254,0.6170798898071626,0.16,0.5052871656645241,1.2212459206154882
2,2018-03-23 19:36:42,2018-04-15 20:02:35,0.07526435828322621,0.1,0.18333333333333332,0.06060606060606061,0.09109730848861283,0.02488077959776073,2.4358585858585857
2,2018-03-23 19:36:42,2018-04-15 20:02:35,0.07526435828322621,0.12,0.24193548387096775,0.04132231404958678,0.07058823529411765,0.012855069458843044,3.2144761396960813
2,2018-03-23 19:36:42,2018-04-15 20:02:35,0.07526435828322621,0.15,0.2857142857142857,0.027548209366391185,0.05025125628140704,0.00725689404934688,3.7961432506887047
2,2018-03-23 19:36:42,2018-04-15 20:02:35,0.07526435828322621,0.17,0.28,0.01928374655647383,0.03608247422680412,0.005183495749533485,3.7202203856749314
2,2018-03-23 19:36:42,2018-04-15 20:02:35,0.07526435828322621,0.2,0.25,0.013774104683195593,0.02610966057441253,0.004146796599626789,3.321625344352617
2,2018-03-23 19:36:42,2018-04-15 20:02:35,0.07526435828322621,0.25,0.16666666666666666,0.005509641873278237,0.010666666666666666,0.002488077959776073,2.214416896235078
2,2018-03-23 19:36:42,2018-04-15 20:02:35,0.07526435828322621,0.3,0.1111111111111111,0.0027548209366391185,0.005376344086021506,0.0018660584698320546,1.4762779308233853
3,2018-04-15 20:06:25,2018-05-05 18:07:13,0.037113829566659755,0.05,0.03738517410809656,0.9776536312849162,0.0720164609053498,0.9705577441426498,1.0073111437058644
3,2018-04-15 20:06:25,2018-05-05 18:07:13,0.037113829566659755,0.07,0.04754273504273504,0.4972067039106145,0.08678693320331546,0.3881401617250674,1.280997827436375
3,2018-04-15 20:06:25,2018-05-05 18:07:13,0.037113829566659755,0.1,0.07079646017699115,0.0446927374301676,0.0547945205479452,0.023429400787891352,1.9075493152716665
3,2018-04-15 20:06:25,2018-05-05 18:07:13,0.037113829566659755,0.12,0.04477611940298507,0.01675977653631285,0.024390243902439025,0.01389176860874974,1.2064537646960727
3,2018-04-15 20:06:25,2018-05-05 18:07:13,0.037113829566659755,0.15,0.03125,0.00558659217877095,0.009478672985781991,0.0066348745594028615,0.8420041899441341
3,2018-04-15 20:06:25,2018-05-05 18:07:13,0.037113829566659755,0.17,0.0,0.0,0.0,0.00352477710968277,0.0
3,2018-04-15 20:06:25,2018-05-05 18:07:13,0.037113829566659755,0.2,0.0,0.0,0.0,0.002488077959776073,0.0
3,2018-04-15 20:06:25,2018-05-05 18:07:13,0.037113829566659755,0.25,0.0,0.0,0.0,0.0018660584698320546,0.0
3,2018-04-15 20:06:25,2018-05-05 18:07:13,0.037113829566659755,0.3,0.0,0.0,0.0,0.0010366991499066972,0.0
4,2018-05-05 18:11:08,2018-05-26 16:54:05,0.08101947782842935,0.05,0.08313792368364954,0.9974424552429667,0.15348288075560804,0.9720265230004144,1.0261473649547128
4,2018-05-05 18:11:08,2018-05-26 16:54:05,0.08101947782842935,0.07,0.10362095531587057,0.6879795396419437,0.1801138265818547,0.5379196021549938,1.2789635047426888
4,2018-05-05 18:11:08,2018-05-26 16:54:05,0.08101947782842935,0.1,0.10666666666666667,0.04092071611253197,0.059149722735674676,0.03108164111065064,1.3165558397271953
4,2018-05-05 18:11:08,2018-05-26 16:54:05,0.08101947782842935,0.12,0.08860759493670886,0.017902813299232736,0.029787234042553193,0.016369664318276005,1.0936579364822427
4,2018-05-05 18:11:08,2018-05-26 16:54:05,0.08101947782842935,0.15,0.05714285714285714,0.005115089514066497,0.009389671361502348,0.0072523829258184834,0.705297771282426
4,2018-05-05 18:11:08,2018-05-26 16:54:05,0.08101947782842935,0.17,0.07692307692307693,0.005115089514066497,0.009592326139088728,0.005387484459179445,0.9494393074955735
4,2018-05-05 18:11:08,2018-05-26 16:54:05,0.08101947782842935,0.2,0.0625,0.0025575447570332483,0.004914004914004914,0.003315375051802735,0.7714194373401534
4,2018-05-05 18:11:08,2018-05-26 16:54:05,0.08101947782842935,0.25,0.0,0.0,0.0,0.0016576875259013675,0.0
4,2018-05-05 18:11:08,2018-05-26 16:54:05,0.08101947782842935,0.3,0.0,0.0,0.0,0.0010360547036883548,0.0
